feature,category,total,bad_count,good_count,bad_rate,good_rate,risk_level
Attribute1,A11,274,135,139,0.4927007299270073,0.5072992700729927,medium
Attribute1,A12,269,105,164,0.3903345724907063,0.6096654275092936,medium
Attribute1,A13,63,14,49,0.2222222222222222,0.7777777777777778,low
Attribute1,A14,394,46,348,0.116751269035533,0.883248730964467,low
Attribute10,A102,41,18,23,0.43902439024390244,0.5609756097560976,medium
Attribute10,A101,907,272,635,0.29988974641675853,0.7001102535832414,low
Attribute10,A103,52,10,42,0.19230769230769232,0.8076923076923077,low
Attribute12,A124,154,67,87,0.43506493506493504,0.564935064935065,medium
Attribute12,A123,332,102,230,0.3072289156626506,0.6927710843373494,medium
Attribute12,A122,232,71,161,0.30603448275862066,0.6939655172413793,medium
Attribute12,A121,282,60,222,0.2127659574468085,0.7872340425531915,low
Attribute14,A141,139,57,82,0.41007194244604317,0.5899280575539568,medium
Attribute14,A142,47,19,28,0.40425531914893614,0.5957446808510638,medium
Attribute14,A143,814,224,590,0.2751842751842752,0.7248157248157249,low
Attribute15,A153,108,44,64,0.4074074074074074,0.5925925925925926,medium
Attribute15,A151,179,70,109,0.39106145251396646,0.6089385474860335,medium
Attribute15,A152,713,186,527,0.2608695652173913,0.7391304347826086,low
Attribute17,A174,148,51,97,0.34459459459459457,0.6554054054054054,medium
Attribute17,A171,22,7,15,0.3181818181818182,0.6818181818181818,medium
Attribute17,A173,630,186,444,0.29523809523809524,0.7047619047619048,low
Attribute17,A172,200,56,144,0.28,0.72,low
Attribute19,A191,596,187,409,0.313758389261745,0.6862416107382551,medium
Attribute19,A192,404,113,291,0.27970297029702973,0.7202970297029703,low
Attribute20,A201,963,296,667,0.3073727933541018,0.6926272066458983,medium
Attribute20,A202,37,4,33,0.10810810810810811,0.8918918918918919,low
Attribute3,A30,40,25,15,0.625,0.375,high
Attribute3,A31,49,28,21,0.5714285714285714,0.42857142857142855,high
Attribute3,A32,530,169,361,0.31886792452830187,0.6811320754716981,medium
Attribute3,A33,88,28,60,0.3181818181818182,0.6818181818181818,medium
Attribute3,A34,293,50,243,0.17064846416382254,0.8293515358361775,low
Attribute4,A46,50,22,28,0.44,0.56,medium
Attribute4,A410,12,5,7,0.4166666666666667,0.5833333333333334,medium
Attribute4,A40,234,89,145,0.3803418803418803,0.6196581196581197,medium
Attribute4,A45,22,8,14,0.36363636363636365,0.6363636363636364,medium
Attribute4,A49,97,34,63,0.35051546391752575,0.6494845360824743,medium
Attribute4,A44,12,4,8,0.3333333333333333,0.6666666666666666,medium
Attribute4,A42,181,58,123,0.32044198895027626,0.6795580110497238,medium
Attribute4,A43,280,62,218,0.22142857142857142,0.7785714285714286,low
Attribute4,A41,103,17,86,0.1650485436893204,0.8349514563106796,low
Attribute4,A48,9,1,8,0.1111111111111111,0.8888888888888888,low
Attribute6,A61,603,217,386,0.3598673300165838,0.6401326699834162,medium
Attribute6,A62,103,34,69,0.3300970873786408,0.6699029126213593,medium
Attribute6,A65,183,32,151,0.17486338797814208,0.825136612021858,low
Attribute6,A63,63,11,52,0.1746031746031746,0.8253968253968254,low
Attribute6,A64,48,6,42,0.125,0.875,low
Attribute7,A72,172,70,102,0.4069767441860465,0.5930232558139535,medium
Attribute7,A71,62,23,39,0.3709677419354839,0.6290322580645161,medium
Attribute7,A73,339,104,235,0.30678466076696165,0.6932153392330384,medium
Attribute7,A75,253,64,189,0.25296442687747034,0.7470355731225297,low
Attribute7,A74,174,39,135,0.22413793103448276,0.7758620689655172,low
Attribute9,A91,50,20,30,0.4,0.6,medium
Attribute9,A92,310,109,201,0.35161290322580646,0.6483870967741936,medium
Attribute9,A94,92,25,67,0.2717391304347826,0.7282608695652174,low
Attribute9,A93,548,146,402,0.2664233576642336,0.7335766423357665,low
